,Player,Team,Annual Salary
423,"Sam Merrill, SG",Memphis Grizzlies,"$1,517,981"
424,"Daniel Oturu, C",Toronto Raptors,"$1,517,981"
425,"Vernon Carey Jr., C",Washington Wizards,"$1,517,981"
426,"Caleb Homesley, SG",Washington Wizards,"$1,517,981"
427,"Anthony Gill, PF",Washington Wizards,"$1,517,981"
428,"Mamadi Diakite, PF",Oklahoma City Thunder,"$1,517,981"
429,"Robert Woodard II, SF",Sacramento Kings,"$1,517,981"
430,"Tre Jones, PG",San Antonio Spurs,"$1,517,981"
431,"Jahmi'us Ramsey, SG",Sacramento Kings,"$1,517,981"
432,"CJ Elleby, SG",Portland Trail Blazers,"$1,517,981"
433,"Elijah Hughes, F",Portland Trail Blazers,"$1,517,981"
434,"Isaiah Joe, SG",Philadelphia 76ers,"$1,517,981"
435,"Paul Reed, SF",Philadelphia 76ers,"$1,517,981"
436,"Jordan Nwora, SF",Milwaukee Bucks,"$1,517,981"
437,"Elijah Bryant, SG",Milwaukee Bucks,"$1,517,981"
438,"Kenyon Martin Jr., F",Houston Rockets,"$1,517,981"
439,"Jae'Sean Tate, SF",Houston Rockets,"$1,517,981"
440,"Deividas Sirvydis, SF",Detroit Pistons,"$1,517,981"
441,"Lamar Stevens, F",Cleveland Cavaliers,"$1,517,981"
442,"Naji Marshall, SF",New Orleans Pelicans,"$1,517,981"
443,"Isaiah Todd, PF",Washington Wizards,"$1,500,000"
444,"Omer Yurtseven, C",Miami Heat,"$1,489,065"
445,"Saben Lee, PG",Detroit Pistons,"$1,489,065"
446,"JT Thor, PF",Charlotte Hornets,"$1,250,000"
447,"Wesley Matthews, SG",Milwaukee Bucks,"$1,237,494"
448,"Alfonzo McKinnie, F",Chicago Bulls,"$1,090,007"
449,"Jason Preston, PG",LA Clippers,"$1,062,303"
450,"Isaiah Livers, PF",Detroit Pistons,"$1,057,260"
451,"Tristan Thompson, C",Chicago Bulls,"$1,000,000"
452,"Marquese Chriss, SF",Dallas Mavericks,"$958,529"
453,"Duane Washington Jr., PG",Indiana Pacers,"$950,000"
454,"Dalano Banton, PG",Toronto Raptors,"$925,258"
455,"Jared Butler, SG",Utah Jazz,"$925,258"
456,"Georgios Kalaitzakis, SF",Oklahoma City Thunder,"$925,258"
457,"Vit Krejci, G",Oklahoma City Thunder,"$925,258"
458,"Jock Landale, C",San Antonio Spurs,"$925,258"
459,"Greg Brown III, PF",Portland Trail Blazers,"$925,258"
460,"Charles Bassey, C",Philadelphia 76ers,"$925,258"
461,"Miles McBride, PG",New York Knicks,"$925,258"
462,"Austin Reaves, SG",Los Angeles Lakers,"$925,258"
463,"Brandon Boston Jr., SG",LA Clippers,"$925,258"
464,"Luka Garza, C",Detroit Pistons,"$925,258"
465,"Marko Simonovic, C",Chicago Bulls,"$925,258"
466,"Ayo Dosunmu, SG",Chicago Bulls,"$925,258"
467,"Stanley Johnson, PF",Los Angeles Lakers,"$888,616"
468,"Bismack Biyombo, C",Phoenix Suns,"$863,368"
469,"Lance Stephenson, G",Indiana Pacers,"$642,729"
470,"Daishen Nix, SG",Houston Rockets,"$612,000"
471,"Danuel House Jr., SF",Utah Jazz,"$565,986"
472,"Luke Kornet, F",Boston Celtics,"$565,986"
473,"Keifer Sykes, G",Indiana Pacers,"$558,345"
474,"Ryan Arcidiacono, G",New York Knicks,"$546,800"
475,"DeAndre' Bembry, SG",Milwaukee Bucks,"$518,021"
476,"Goran Dragic, PG",Brooklyn Nets,"$460,463"
477,"Jevon Carter, PG",Milwaukee Bucks,"$441,277"
478,"Trendon Watford, PF",Portland Trail Blazers,"$436,482"
479,"DeMarcus Cousins, C",Denver Nuggets,"$431,684"
480,"Nik Stauskas, G",Boston Celtics,"$432,536"
481,"DeMarcus Cousins, C",Denver Nuggets,"$431,684"
482,"D.J. Augustin, G",Los Angeles Lakers,"$393,312"
483,"DeAndre Jordan, C",Philadelphia 76ers,"$374,126"
484,"Devontae Cacok, PF",San Antonio Spurs,"$364,353"
485,"Sam Hauser, SF",Boston Celtics,"$313,737"
486,"Haywood Highsmith, F",Miami Heat,"$290,967"
487,"Malik Fitts, F",Boston Celtics,"$231,062"
488,"Joe Wieskamp, SF",San Antonio Spurs,"$202,068"
489,"Isaiah Thomas, G",Charlotte Hornets,"$191,860"
490,"Amir Coffey, SG",LA Clippers,"$153,488"
491,"Jose Alvarado, PG",New Orleans Pelicans,"$150,000"
492,"Armoni Brooks, SG",Toronto Raptors,"$136,926"
493,"Devin Cannady, G",Orlando Magic,"$100,000"
494,"Luca Vildoza, G",Milwaukee Bucks,"$42,789"
495,"Rayjon Tucker, G",Milwaukee Bucks,"$28,779"
496,"Juwan Morgan, F",Toronto Raptors,"$19,816"
497,"Moses Brown, C",Cleveland Cavaliers,"$19,186"
498,"Xavier Sneed, F",Utah Jazz,"$8,558"
499,"Ish Wainright, F",Phoenix Suns,"$5,318"
500,"Kessler Edwards, SF",Brooklyn Nets,"$5,318"
