,Player,Team,Annual Salary
140,"Garrett Temple, SF",Sacramento Kings,"$8,000,000"
141,"Vince Carter, G",Sacramento Kings,"$8,000,000"
142,"Cory Joseph, PG",Indiana Pacers,"$7,945,000"
143,"CJ Miles, G",Toronto Raptors,"$7,936,509"
144,"Shaun Livingston, G",Golden State Warriors,"$7,692,308"
145,"P.J. Tucker, PF",Houston Rockets,"$7,590,035"
146,"Corey Brewer, F",Oklahoma City Thunder,"$7,579,366"
147,"Andrew Wiggins, SF",Minnesota Timberwolves,"$7,574,323"
148,"Kyle Korver, G",Cleveland Cavaliers,"$7,560,000"
149,"Boris Diaw, C",Utah Jazz,"$7,500,000"
150,"Jeremy Lamb, SG",Charlotte Hornets,"$7,488,372"
151,"Darrell Arthur, F",Denver Nuggets,"$7,464,912"
152,"Trevor Ariza, SF",Houston Rockets,"$7,420,912"
153,"Channing Frye, F",Los Angeles Lakers,"$7,420,912"
154,"Festus Ezeli, C",Portland Trail Blazers,"$7,400,000"
155,"Al-Farouq Aminu, SF",Portland Trail Blazers,"$7,319,035"
156,"Cole Aldrich, C",Minnesota Timberwolves,"$7,300,000"
157,"D.J. Augustin, G",Orlando Magic,"$7,250,000"
158,"Dewayne Dedmon, C",Atlanta Hawks,"$7,200,000"
159,"Lance Thomas, F",New York Knicks,"$7,119,650"
160,"D'Angelo Russell, PG",Brooklyn Nets,"$7,019,698"
161,"Langston Galloway, SG",Detroit Pistons,"$7,000,000"
162,"Rodney Stuckey, PG",Indiana Pacers,"$7,000,000"
163,"Boban Marjanovic, C",LA Clippers,"$7,000,000"
164,"Lou Williams, SG",LA Clippers,"$7,000,000"
165,"Jae Crowder, PF",Utah Jazz,"$6,796,117"
166,"Carl Landry, PF",Philadelphia 76ers,"$6,500,000"
167,"Ben Simmons, PG",Philadelphia 76ers,"$6,434,520"
168,"Tim Duncan, C",San Antonio Spurs,"$6,393,750"
169,"Andrew Nicholson, F",Portland Trail Blazers,"$6,362,998"
170,"Ed Davis, C",Los Angeles Lakers,"$6,352,531"
171,"Lonzo Ball, PG",Los Angeles Lakers,"$6,286,560"
172,"Isaiah Thomas, G",Minnesota Timberwolves,"$6,261,395"
173,"Karl-Anthony Towns, C",Milwaukee Bucks,"$6,216,840"
174,"Spencer Hawes, PF",Dallas Mavericks,"$6,061,175"
175,"Josh McRoberts, PF",Orlando Magic,"$6,021,175"
176,"Shelvin Mack, G",Orlando Magic,"$6,000,000"
